icd10,icd9,flags
I6000,430,10000
I6001,430,10000
I6002,430,10000
I6010,430,10000
I6011,430,10000
I6012,430,10000
I6020,430,10000
I6021,430,10000
I6022,430,10000
I6030,430,10000
I6031,430,10000
I6032,430,10000
I604,430,10000
I6050,430,10000
I6051,430,10000
I6052,430,10000
I606,430,10000
I607,430,10000
I608,430,10000
I609,430,10000
I610,431,10000
I611,431,10000
I612,431,10000
I613,431,10000
I614,431,10000
I615,431,10000
I616,431,10000
I618,431,10000
I619,431,10000
I6200,4321,10000
I6201,4321,10000
I6202,4321,10000
I6203,4321,10000
I629,4329,0
K661,56881,0
M25061,71916,10000
M25062,71916,10000
M25069,71916,10000
H44811,36043,10000
H44812,36043,10000
H44813,36043,10000
H44819,36043,10000
